SITE#,PI Number,SITE  NAME,STREET,TOWN,Latitude,Longitude,RP (Responsible Party) CATEGORY,Address
1.0,,Bramhall Avenue,597 Bramhall Avenue,Jersey City,40.715756,-74.076214,PPG,"597 Bramhall Avenue, Jersey City, New Jersey"
2.0,,Gaven Point 1,80 Gaven Point,Jersey City,40.699838,-74.068967,PPG,"80 Gaven Point, Jersey City, New Jersey"
3.0,,Gaven Point 2,Rear of 80 Gaven Point Road,Jersey City,40.699838,-74.068967,PPG,"Rear of 80 Gaven Point Road, Jersey City, New Jersey"
4.0,,Gaven Point 3,90 Gaven Point Road,Jersey City,40.69895,-74.070728,PPG,"90 Gaven Point Road, Jersey City, New Jersey"
5.0,,Gaven Point 4 (air dock system),100 Gaven Point Road,Jersey City,40.694697,-74.073064,PPG,"100 Gaven Point Road, Jersey City, New Jersey"
6.0,,Communipaw 1,378 Communipaw  Avenue,Jersey City,40.7124,-74.06338,PPG,"378 Communipaw  Avenue, Jersey City, New Jersey"
7.0,G000008635,NJ Turnpike at Communipaw,Intersection of N.J. Turnpike and,Jersey City,40.72157,-74.047455,Honeywell,"Intersection of N.J. Turnpike and, Jersey City, New Jersey"
8.0,,DEP Green Acres Site,"East of Ultramar, North of Port Lib",Jersey City,40.72157,-74.047455,PPG,"East of Ultramar, North of Port Lib, Jersey City, New Jersey"
9.0,,NJ Turnpike Exit 14A,New Jersey Turnpike Exit 14A,Jersey City,40.72157,-74.047455,Not a Site,"New Jersey Turnpike Exit 14A, Jersey City, New Jersey"
10.0,,Grand Street 4,383 Grand Street,Jersey City,40.716824,-74.051272,PPG,"383 Grand Street, Jersey City, New Jersey"
11.0,,Grand Street 5,"267,269,271 Grand Street",Jersey City,40.716221,-74.045695,PPG,"267,269,271 Grand Street, Jersey City, New Jersey"
12.0,,Grand Street 6,541-547 Grand Street,Jersey City,40.717256,-74.055121,PPG,"541-547 Grand Street, Jersey City, New Jersey"
13.0,,Halladay Street,215 Halladay Street,Jersey City,40.710693,-74.065095,PPG,"215 Halladay Street, Jersey City, New Jersey"
14.0,,Kearny Avenue,30-32 Kearny Avenue,Jersey City,40.710495,-74.078198,PPG,"30-32 Kearny Avenue, Jersey City, New Jersey"
15.0,,Liberty State Park,Libery State Park east of Environ,Jersey City,40.72157,-74.047455,NJDEP-Completed,"Libery State Park east of Environ, Jersey City, New Jersey"
16.0,,Linden East (Levy & Sons),Linden Avenue East,Jersey City,40.6824,-74.07137,PPG,"Linden Avenue East, Jersey City, New Jersey"
